"awayTeam","homeTeam","selectedSide","status","marketProbability","calibratedProbability","diagnosticCalibratedEdgePct","matchConfidence","riskLevel","priceSourceUsed","mainReason","Warnings","Reasons"
"New York Yankees","Toronto Blue Jays","New York Yankees","daily_pick","0,07936507936507936","0,67","59,06349206349206","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | New York Yankees lean: StatsAPI data favors New York Yankees. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Rogers Centre. Official bet blocked until real odds are matched. | New York Yankees: Will Warren (Right, ERA 3.41, 75 SO) | Toronto Blue Jays: Patrick Corbin (Left, ERA 4.55, 40 SO) | Medium weather impact: 60F, 7 mph wind, 87% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Atlanta Braves","New York Mets","Atlanta Braves","daily_pick","0,06756756756756756","0,65","58,24324324324325","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Starting pitcher unknown for one or both teams. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Atlanta Braves lean: StatsAPI data favors Atlanta Braves. Inputs: pitcher data incomplete, season records connected, recent form connected, weather connected, venue Citi Field. Official bet blocked until real odds are matched. | Atlanta Braves: Martín Pérez (Left, ERA 3.02, 47 SO) | New York Mets: Probable pitcher not posted by MLB StatsAPI. | Low weather impact: 90F, 10 mph wind, 0% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"New York Yankees","Toronto Blue Jays","New York Yankees","daily_pick","0,07936507936507936","0,64","56,06349206349206","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | New York Yankees lean: StatsAPI data favors New York Yankees. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Rogers Centre. Official bet blocked until real odds are matched. | New York Yankees: Cam Schlittler (Right, ERA 1.87, 89 SO) | Toronto Blue Jays: Kevin Gausman (Right, ERA 3.60, 79 SO) | Low weather impact: 77F, 12 mph wind, 2% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Atlanta Braves","New York Mets","Atlanta Braves","daily_pick","0,06756756756756756","0,62","55,24324324324324","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Atlanta Braves lean: StatsAPI data favors Atlanta Braves. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Citi Field. Official bet blocked until real odds are matched. | Atlanta Braves: Bryce Elder (Right, ERA 2.66, 71 SO) | New York Mets: Freddy Peralta (Right, ERA 4.04, 79 SO) | Medium weather impact: 89F, 17 mph wind, 2% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
"Houston Astros","Kansas City Royals","Kansas City Royals","daily_pick","0,10309278350515465","0,65","54,690721649484544","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Kansas City Royals lean: StatsAPI data favors Kansas City Royals. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Kauffman Stadium. Official bet blocked until real odds are matched. | Houston Astros: Mike Burrows (Right, ERA 5.77, 60 SO) | Kansas City Royals: Noah Cameron (Left, ERA 3.84, 63 SO) | Medium weather impact: 92F, 6 mph wind, 41% precip."
"Tampa Bay Rays","Los Angeles Angels","Tampa Bay Rays","daily_pick","0,3448275862068966","0,65","30,517241379310345","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Starting pitcher unknown for one or both teams. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Tampa Bay Rays lean: StatsAPI data favors Tampa Bay Rays. Inputs: pitcher data incomplete, season records connected, recent form connected, weather connected, venue Angel Stadium. Official bet blocked until real odds are matched. | Tampa Bay Rays: Probable pitcher not posted by MLB StatsAPI. | Los Angeles Angels: Grayson Rodriguez (Right, ERA 8.10, 23 SO) | Low weather impact: 82F, 11 mph wind, 0% precip."
"Arizona Diamondbacks","Cincinnati Reds","Arizona Diamondbacks","buy","0,4424778761061947","0,62","17,752212389380528","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Arizona Diamondbacks lean: StatsAPI data favors Arizona Diamondbacks. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Great American Ball Park. Official bet blocked until real odds are matched. | Arizona Diamondbacks: Michael Soroka (Right, ERA 3.28, 72 SO) | Cincinnati Reds: Rhett Lowder (Right, ERA 5.01, 31 SO) | Low weather impact: 89F, 7 mph wind, 0% precip."
"Philadelphia Phillies","Milwaukee Brewers","Milwaukee Brewers","buy","0,5867768595041323","0,76","17,322314049586772","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Weather is partial or missing. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Milwaukee Brewers lean: StatsAPI data favors Milwaukee Brewers. Inputs: probable pitchers posted, season records connected, recent form connected, weather partial, venue American Family Field. Official bet blocked until real odds are matched. | Philadelphia Phillies: Aaron Nola (Right, ERA 5.86, 68 SO) | Milwaukee Brewers: Shane Drohan (Left, ERA 3.11, 37 SO) | NOT CONNECTED - venue coordinates needed for weather."
"Miami Marlins","Pittsburgh Pirates","Miami Marlins","buy","0,4672897196261683","0,61","14,271028037383171","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Starting pitcher unknown for one or both teams. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | Miami Marlins lean: StatsAPI data favors Miami Marlins. Inputs: pitcher data incomplete, season records connected, recent form connected, weather connected, venue PNC Park. Official bet blocked until real odds are matched. | Miami Marlins: Probable pitcher not posted by MLB StatsAPI. | Pittsburgh Pirates: Bubba Chandler (Right, ERA 4.91, 62 SO) | Low weather impact: 88F, 5 mph wind, 0% precip."
"Chicago Cubs","San Francisco Giants","San Francisco Giants","buy","0,5535714285714286","0,61","5,642857142857139","high","medium","sportsbook","Sportsbook odds fallback connected with a positive edge.","Lineup source not connected - confirmed batting orders unavailable. | Injury/news source not connected - late scratches unavailable. | Bullpen availability not connected - reliever fatigue not modeled yet. | Sportsbook odds fallback connected.","Sportsbook odds fallback (the_odds_api) | San Francisco Giants lean: StatsAPI data favors San Francisco Giants. Inputs: probable pitchers posted, season records connected, recent form connected, weather connected, venue Oracle Park. Official bet blocked until real odds are matched. | Chicago Cubs: Colin Rea (Right, ERA 5.19, 54 SO) | San Francisco Giants: Logan Webb (Right, ERA 3.88, 58 SO) | Low weather impact: 68F, 10 mph wind, 1% precip. | Market mentions other MLB team aliases (Seattle Mariners, Washington Nationals), not this game."
